id;url;highestBuyOrder;lowestSellOrder;sellsPerMonth;tracked;updatedAt;sellOrders;buyOrders
176005915;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Stiletto%20Knife%20%7C%20Fade%20%28Factory%20New%29;89886;126351;0;false;1689335310329;230;5
161439002;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20M9%20Bayonet%20%7C%20Freehand%20%28Factory%20New%29;65983;94073;0;false;1689335315289;157;1
49431025;https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Hydroponic%20%28Field-Tested%29;95967;139998;0;false;1689335320290;766;5
15008082;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Boreal%20Forest%20%28Minimal%20Wear%29;81390;136223;0;false;1689335325738;242;3
1626845;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20P90%20%7C%20Emerald%20Dragon%20%28Factory%20New%29;77845;162472;0;false;1689335330314;263;1
176263406;https://steamcommunity.com/market/listings/730/M4A1-S%20%7C%20Imminent%20Danger%20%28Field-Tested%29;77023;115396;0;false;1689335335329;204;2
32626483;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Damascus%20Steel%20%28Field-Tested%29;81030;99900;0;false;1689335340316;239;1
9885808;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bayonet%20%7C%20Slaughter%20%28Minimal%20Wear%29;52671;102847;0;false;1689335345313;222;2
30769648;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Flip%20Knife%20%7C%20Doppler%20%28Minimal%20Wear%29;49456;115000;0;false;1689335350331;401;1
9688037;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20M9%20Bayonet%20%7C%20Case%20Hardened%20%28Minimal%20Wear%29;74130;160979;0;false;1689335355324;253;1
175896340;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20AWP%20%7C%20Oni%20Taiji%20%28Factory%20New%29;103903;0;0;false;1689251840917;0;0
